team_id,tier,flag,fifa_rank,fifa_points
brazil,top,🇧🇷,1,1841.30
belgium,top,🇧🇪,2,1816.71
argentina,top,🇦🇷,3,1773.88
france,top,🇫🇷,4,1759.78
england,top,🏴,5,1728.47
spain,top,🇪🇸,7,1715.22
netherlands,top,🇳🇱,8,1694.51
portugal,top,🇵🇹,9,1676.56
denmark,top,🇩🇰,10,1666.57
germany,top,🇩🇪,11,1650.21
croatia,top,🇭🇷,12,1645.64
mexico,middle,🇲🇽,13,1644.89
uruguay,middle,🇺🇾,14,1638.71
switzerland,middle,🇨🇭,15,1635.92
usa,middle,🇺🇸,16,1627.48
senegal,middle,🇸🇳,18,1584.38
wales,middle,🏴,19,1569.82
iran,middle,🇮🇷,20,1564.61
serbia,middle,🇷🇸,21,1563.62
morocco,middle,🇲🇦,22,1563.50
japan,middle,🇯🇵,24,1559.54
poland,middle,🇵🇱,26,1548.59
south_korea,longshot,🇰🇷,28,1530.30
tunisia,longshot,🇹🇳,30,1507.54
costa_rica,longshot,🇨🇷,31,1503.59
australia,longshot,🇦🇺,38,1488.72
canada,longshot,🇨🇦,41,1475.00
cameroon,longshot,🇨🇲,43,1471.44
ecuador,longshot,🇪🇨,44,1464.39
qatar,longshot,🇶🇦,50,1439.89
saudi_arabia,longshot,🇸🇦,51,1437.78
ghana,longshot,🇬🇭,61,1393.00
