team_id,tier,flag,fifa_rank,fifa_points
argentina,top,🇦🇷,1,1876.12
spain,top,🇪🇸,2,1874.71
france,top,🇫🇷,3,1870.70
england,top,🏴,4,1827.05
portugal,top,🇵🇹,5,1766.18
brazil,top,🇧🇷,6,1765.86
morocco,top,🇲🇦,7,1755.10
netherlands,top,🇳🇱,8,1753.57
belgium,top,🇧🇪,9,1742.24
germany,top,🇩🇪,10,1735.77
croatia,top,🇭🇷,11,1714.87
colombia,top,🇨🇴,13,1698.35
mexico,top,🇲🇽,14,1687.48
senegal,top,🇸🇳,15,1686.41
uruguay,top,🇺🇾,16,1673.07
usa,top,🇺🇸,17,1671.23
japan,middle,🇯🇵,18,1661.58
switzerland,middle,🇨🇭,19,1650.06
iran,middle,🇮🇷,20,1619.58
turkey,middle,🇹🇷,22,1605.73
ecuador,middle,🇪🇨,23,1598.52
austria,middle,🇦🇹,24,1597.40
south_korea,middle,🇰🇷,25,1591.63
australia,middle,🇦🇺,27,1579.34
algeria,middle,🇩🇿,28,1571.03
egypt,middle,🇪🇬,29,1562.37
canada,middle,🇨🇦,30,1559.48
norway,middle,🇳🇴,31,1557.44
ivory_coast,middle,🇨🇮,33,1540.87
panama,middle,🇵🇦,34,1539.16
sweden,middle,🇸🇪,38,1509.79
czech_republic,middle,🇨🇿,39,1505.74
paraguay,longshot,🇵🇾,40,1505.35
scotland,longshot,🏴,42,1503.34
dr_congo,longshot,🇨🇩,45,1479.68
tunisia,longshot,🇹🇳,46,1476.41
uzbekistan,longshot,🇺🇿,50,1458.73
iraq,longshot,🇮🇶,56,1451.15
qatar,longshot,🇶🇦,57,1450.31
south_africa,longshot,🇿🇦,60,1428.38
saudi_arabia,longshot,🇸🇦,61,1421.54
jordan,longshot,🇯🇴,63,1387.74
bosnia_and_herzegovina,longshot,🇧🇦,64,1387.22
cape_verde,longshot,🇨🇻,67,1371.11
ghana,longshot,🇬🇭,73,1346.88
curacao,longshot,🇨🇼,82,1294.77
haiti,longshot,🇭🇹,83,1293.10
new_zealand,longshot,🇳🇿,85,1275.58
